,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Marchf1,0.86935874,0.013418638,0.493,0.497,1
Marchf2,0.053448861,-0.276778176,0.109,0.153,1
Marchf2,0.136466235,-0.006828203,0.435,0.524,1
Marchf3,0.898212976,0.104110425,0.447,0.484,1
Marchf4,0.195431133,0.016730005,0.421,0.499,1
Marchf5,0.41087475,-0.001337699,0.249,0.285,1
Marchf6,0.142269349,-0.070345305,0.583,0.665,1
Marchf7,0.748601257,-0.005498376,0.533,0.575,1
Marchf8,0.040293704,-0.086651931,0.463,0.582,1
Marchf9,0.233781509,-0.154633062,0.01,0.019,1
Marchf10,0.117907305,0.251274474,0.076,0.106,1
Marchf11,0.204051329,0.004476319,0.445,0.518,1
Septin1,8.87E-06,-0.471084429,0.181,0.321,0.235729122
Septin2,0.002799333,-0.309944486,0.131,0.21,1
Septin3,0.04604556,-0.012716953,0.457,0.571,1
Septin4,0.001922281,-0.189117828,0.235,0.342,1
Septin5,0.023712954,-0.287317631,0.04,0.074,1
Septin6,0.221074928,0.032334527,0.32,0.384,1
Septin7,0.008328584,-0.182087192,0.549,0.679,1
Septin8,0.652967193,0.142138567,0.243,0.268,1
Septin9,0.734218458,0.088201416,0.05,0.055,1
Septin10,0.170830337,-0.016521933,0.189,0.234,1
Septin11,0.007861977,-0.168681649,0.314,0.418,1
0610005C13Rik,0.618074918,0.122349358,0.052,0.059,1
0610009B22Rik,0.264350058,0.050756065,0.113,0.14,1
0610009E02Rik,0.369843826,0.15764134,0.167,0.2,1
0610009L18Rik,0.270353812,0.048600099,0.04,0.055,1
0610010F05Rik,0.005584955,-0.170634003,0.678,0.794,1
0610010K14Rik,0.174202768,-0.47537577,0.044,0.064,1
0610012G03Rik,6.47E-06,-0.694898743,0.141,0.265,0.172114076
0610030E20Rik,0.761175415,0.34727975,0.35,0.389,1
0610040B10Rik,0.174814807,-0.396944119,0.117,0.149,1
0610040F04Rik,0.296376915,0.36809022,0.217,0.2,1
0610040J01Rik,0.911288958,-0.078262793,0.211,0.212,1
0610043K17Rik,0.175558861,0.061545512,0.37,0.444,1
0710001A04Rik,0.91497602,0.210513865,0.012,0.013,1
1010001N08Rik,0.086572696,-1.275667226,0.002,0.011,1
1110002J07Rik,0.906893268,0.72009743,0.056,0.055,1
1110002L01Rik,0.067907634,0.146037309,0.189,0.255,1
1110004F10Rik,0.013772523,-0.253017565,0.298,0.382,1
1110006O24Rik,0.91497602,0.088619632,0.012,0.013,1
1110008P14Rik,1.76E-08,-0.93373512,0.157,0.318,0.000468457
1110012L19Rik,0.014473055,-2.631692151,0.002,0.017,1
1110013H19Rik,0.013895918,-1.30921665,0.006,0.025,1
1110015O18Rik,0.022043619,-0.544417726,0.058,0.098,1
1110017D15Rik,0.134166911,-0.123901652,0.153,0.197,1
1110018N20Rik,0.386407008,0.269221396,0.028,0.038,1
1110019D14Rik,0.087714204,-0.040377903,0.155,0.202,1
1110020A21Rik,0.734598766,0.196378128,0.026,0.03,1
